               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.020412,           0.0048127,                   0,             0.99106,             0.99899,             0.99261,             0.78182,            0.016136,           0.0043792,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.020743,           0.0047477,                   0,             0.99165,             0.99833,             0.99279,             0.77743,            0.016441,           0.0044135,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.020142,           0.0047909,                   0,             0.99221,             0.99733,             0.99262,             0.78361,            0.016068,           0.0043387,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020022,           0.0048262,                   0,              0.9915,             0.99867,             0.99301,             0.77992,            0.016238,           0.0044162,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.020305,           0.0047744,                   0,             0.99244,             0.99867,             0.99323,             0.78992,            0.015956,           0.0043498,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020037,           0.0048537,                   0,             0.99334,             0.99466,             0.99323,             0.78567,            0.016185,           0.0043946,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.020221,           0.0046597,                   0,             0.98998,             0.99833,             0.99323,             0.78317,            0.016219,           0.0043937,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.019998,           0.0047689,                   0,             0.99303,             0.99799,             0.99318,             0.78628,            0.016218,           0.0043659,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.01968,           0.0048256,                   0,             0.99207,             0.99733,             0.99267,             0.78745,            0.016063,           0.0043343,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.019961,           0.0046825,                   0,              0.9917,             0.99679,             0.99323,             0.78707,            0.015985,           0.0043859,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.019887,           0.0047222,                   0,             0.99295,             0.99733,             0.99275,             0.78737,            0.016041,           0.0043389,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020015,           0.0046926,                   0,             0.99277,             0.99833,             0.99318,             0.79032,            0.015889,           0.0043342,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.019625,           0.0046514,                   0,             0.99238,             0.99833,             0.99279,             0.79389,            0.015936,           0.0042931,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019461,            0.004723,                   0,             0.99139,             0.99858,             0.99273,             0.79365,            0.015839,            0.004306,                   0,            0.006139,            0.006139,            0.006139
                  80,              0.0198,           0.0046147,                   0,             0.99237,             0.99783,             0.99278,             0.79258,            0.015836,           0.0042887,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019775,           0.0046507,                   0,             0.99242,             0.99833,             0.99294,             0.79537,            0.015585,           0.0042505,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.019572,           0.0046901,                   0,             0.99238,             0.99885,             0.99305,             0.79456,            0.015648,           0.0042697,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019524,            0.004716,                   0,              0.9927,             0.99819,             0.99315,             0.79232,            0.015738,            0.004247,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.019637,           0.0047689,                   0,             0.99204,             0.99859,             0.99272,             0.79375,            0.015767,           0.0042893,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.019842,           0.0045929,                   0,             0.99237,              0.9985,             0.99304,             0.79568,             0.01566,           0.0042632,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.019164,           0.0045657,                   0,             0.99336,             0.99783,             0.99305,             0.79583,            0.015452,           0.0042419,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019477,           0.0046729,                   0,             0.99405,             0.99867,             0.99326,             0.79445,             0.01561,           0.0042444,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.019318,           0.0047164,                   0,             0.99171,             0.99803,             0.99319,              0.7993,            0.015566,           0.0042594,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.019586,           0.0046401,                   0,             0.99234,               0.999,             0.99309,             0.79627,            0.015446,           0.0042264,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.019502,           0.0045784,                   0,              0.9927,             0.99842,             0.99337,             0.79533,            0.015495,           0.0042601,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019376,            0.004524,                   0,             0.99324,               0.997,             0.99342,             0.79701,            0.015586,           0.0042245,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.019179,           0.0046545,                   0,             0.99203,             0.99713,             0.99321,             0.79916,            0.015478,           0.0042181,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.019165,           0.0046259,                   0,             0.99231,             0.99766,             0.99323,             0.80169,            0.015319,           0.0042016,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.019294,           0.0045835,                   0,             0.99296,               0.998,             0.99351,             0.79727,            0.015355,            0.004186,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019473,           0.0045925,                   0,             0.99358,             0.99766,             0.99316,             0.80655,             0.01517,           0.0041679,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.018643,           0.0046834,                   0,             0.99367,               0.998,             0.99313,             0.80738,            0.015059,           0.0041597,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.018995,           0.0045058,                   0,             0.99237,             0.99809,             0.99341,             0.80573,            0.015071,           0.0041509,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.019039,           0.0044505,                   0,             0.99238,             0.99887,             0.99339,             0.80823,            0.015101,           0.0041523,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.018744,           0.0045556,                   0,             0.99238,             0.99883,             0.99329,             0.80766,             0.01504,           0.0041422,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.018758,            0.004534,                   0,             0.99368,             0.99718,             0.99308,             0.80633,             0.01503,           0.0041652,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.018967,           0.0045749,                   0,             0.99303,             0.99812,             0.99338,             0.80825,            0.015077,           0.0041609,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.018901,           0.0045201,                   0,             0.99052,               0.999,             0.99324,             0.80868,            0.014954,           0.0041255,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.018726,           0.0044969,                   0,             0.99202,             0.99867,             0.99322,             0.81038,            0.014898,           0.0041232,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.018682,           0.0045169,                   0,             0.99328,             0.99733,             0.99327,             0.80801,            0.014885,           0.0041277,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.018627,            0.004549,                   0,             0.99401,             0.99742,             0.99313,             0.81102,            0.014808,           0.0041087,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.018637,           0.0045233,                   0,             0.99336,             0.99772,             0.99324,             0.81325,            0.014781,           0.0041297,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018833,           0.0045481,                   0,             0.99328,             0.99833,             0.99307,             0.81069,            0.014798,           0.0040898,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.01851,           0.0044639,                   0,             0.99323,               0.997,             0.99314,             0.81253,            0.014786,           0.0040879,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.018837,           0.0045077,                   0,             0.99336,             0.99783,             0.99323,             0.81152,            0.014728,           0.0040791,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.018478,           0.0045196,                   0,             0.99303,             0.99824,             0.99314,             0.81077,            0.014805,           0.0041054,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018558,           0.0044121,                   0,             0.99279,             0.99766,             0.99329,             0.81167,            0.014733,           0.0040908,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.018747,           0.0044905,                   0,             0.99301,             0.99833,             0.99326,             0.81512,            0.014656,           0.0040523,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.018385,           0.0044021,                   0,             0.99356,             0.99833,             0.99304,             0.81597,            0.014561,             0.00405,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.018463,           0.0044397,                   0,             0.99336,              0.9982,             0.99299,             0.81563,            0.014494,           0.0040439,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018361,           0.0045351,                   0,             0.99361,             0.99933,             0.99308,             0.81718,            0.014446,           0.0040219,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.018131,           0.0044732,                   0,             0.99271,             0.99893,             0.99316,             0.81448,            0.014518,           0.0040418,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.018433,           0.0045136,                   0,             0.99138,             0.99832,             0.99325,             0.81741,            0.014504,           0.0040314,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.018195,           0.0044972,                   0,             0.99138,             0.99823,             0.99307,             0.81633,            0.014484,           0.0040465,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018228,           0.0044534,                   0,             0.99295,             0.99833,             0.99319,             0.81388,            0.014515,           0.0040461,                   0,            0.004159,            0.004159,            0.004159
                 120,             0.01806,           0.0045218,                   0,             0.99257,               0.999,             0.99321,             0.81994,            0.014374,           0.0040184,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017874,           0.0044234,                   0,             0.99327,             0.99933,             0.99334,             0.81871,            0.014406,           0.0040402,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.017725,           0.0043336,                   0,             0.99302,             0.99867,             0.99327,             0.82064,            0.014271,           0.0039992,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017855,            0.004318,                   0,             0.99336,             0.99794,             0.99319,             0.82323,            0.014216,           0.0039977,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.018049,            0.004482,                   0,             0.99401,             0.99669,             0.99333,             0.82012,            0.014292,           0.0040051,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018029,           0.0044002,                   0,             0.99437,             0.99633,             0.99309,             0.82204,            0.014225,           0.0039802,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.017776,           0.0044134,                   0,             0.99368,             0.99733,             0.99325,              0.8219,            0.014251,           0.0039922,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.017627,           0.0043272,                   0,             0.99304,             0.99766,             0.99324,             0.82333,            0.014207,           0.0039695,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.017706,           0.0043438,                   0,              0.9927,             0.99861,             0.99314,             0.82304,            0.014104,           0.0039573,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017837,           0.0042961,                   0,             0.99331,             0.99833,              0.9931,             0.82415,            0.014047,           0.0039678,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.017785,           0.0043916,                   0,             0.99352,             0.99833,             0.99311,             0.82519,             0.01401,           0.0039587,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017662,           0.0043641,                   0,             0.99306,             0.99833,             0.99305,             0.82359,            0.014046,           0.0039622,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.017472,           0.0042342,                   0,             0.99342,               0.998,             0.99329,             0.82623,            0.013988,           0.0039311,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.017478,           0.0042396,                   0,             0.99274,             0.99833,              0.9932,             0.82697,            0.013971,           0.0039151,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.017436,            0.004316,                   0,             0.99318,             0.99766,             0.99319,             0.82748,            0.013848,           0.0039061,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017493,           0.0043155,                   0,             0.99365,             0.99867,             0.99311,             0.82974,            0.013854,           0.0039092,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.017454,           0.0043175,                   0,             0.99336,             0.99774,             0.99281,             0.82765,            0.013942,           0.0039305,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.017163,           0.0042825,                   0,             0.99442,             0.99766,               0.993,             0.82911,            0.013842,           0.0039124,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.017338,           0.0042652,                   0,             0.99425,             0.99833,             0.99309,             0.83149,            0.013748,           0.0038915,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017252,           0.0042478,                   0,             0.99402,             0.99777,             0.99281,             0.83208,            0.013729,           0.0038736,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.017336,           0.0043538,                   0,             0.99425,             0.99833,             0.99301,             0.83034,            0.013721,           0.0038854,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017148,           0.0042739,                   0,             0.99384,               0.998,             0.99302,             0.83191,            0.013616,            0.003874,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.017112,           0.0042049,                   0,             0.99286,             0.99833,             0.99301,             0.83341,            0.013539,           0.0038672,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017066,           0.0043679,                   0,             0.99377,             0.99833,             0.99303,             0.83353,            0.013572,           0.0038624,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.016902,             0.00417,                   0,             0.99353,               0.999,             0.99317,             0.83473,            0.013502,           0.0038423,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016922,           0.0042063,                   0,             0.99329,             0.99766,             0.99306,             0.83421,            0.013552,            0.003846,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.016667,           0.0041275,                   0,             0.99401,             0.99735,             0.99312,             0.83294,            0.013486,           0.0038455,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.016876,           0.0041874,                   0,             0.99359,             0.99867,             0.99317,             0.83582,             0.01341,           0.0038273,                   0,            0.002773,            0.002773,            0.002773
                 148,             0.01706,           0.0042831,                   0,             0.99312,               0.998,             0.99309,             0.83462,            0.013396,           0.0038228,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017041,           0.0043072,                   0,             0.99392,             0.99867,              0.9931,             0.83592,            0.013378,           0.0038142,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.016717,           0.0041986,                   0,             0.99411,             0.99833,             0.99319,             0.83762,             0.01333,           0.0037991,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016624,           0.0042246,                   0,             0.99329,             0.99867,              0.9933,             0.84011,            0.013282,           0.0037911,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.016495,           0.0042554,                   0,             0.99358,             0.99867,             0.99315,             0.83996,             0.01324,           0.0037763,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.016634,           0.0041658,                   0,              0.9933,               0.998,              0.9931,             0.83996,             0.01321,           0.0037748,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.016578,            0.004175,                   0,              0.9927,             0.99828,             0.99299,             0.83975,            0.013192,           0.0037784,                   0,           0.0024265,           0.0024265,           0.0024265
